site,camera,date,prcp,vpd,tmax,tmin,dtgw,et,fp,is_test_mask,fp_pred,fp_final,source
St.David,1.0754327901249365,2020-03-04,-0.2734546534706098,-0.7586133228759224,-1.0018672722549724,-1.1399945936536577,-0.42736618231999,0.5363190646047677,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-05,-0.2734546534706098,-0.35509040618637244,-0.46385872917264587,-0.9390306768200496,-0.42736618231999,0.2432303979887943,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-06,-0.2734546534706098,-0.344126448440335,-0.42124419110671896,-0.6076398470745631,-0.42736618231999,0.045667452417679597,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-07,2.4011791834382876,-0.2942871250085293,-0.18553252742956053,-0.46922761296399845,-0.42736618231999,-0.06165504968827131,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-08,4.555060579750868,-1.2091730087218948,-1.0751110095557843,-0.28822699912710636,-0.42736618231999,1.3423122022826661,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-09,-0.2734546534706098,-0.6537861863381361,-0.6502973332110757,-0.8551848042338421,-0.42736618231999,1.0430821423422654,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-10,0.2657860394545712,-0.7310231937246654,-0.7421849309157307,-0.41998479890543217,-0.42736618231999,1.0675519477069662,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-11,-0.20566439493144423,-0.9319277095658336,-0.7102240273662853,0.21351734952369045,-0.42736618231999,1.489047685792873,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-12,1.5014175701002714,-1.5047542190284144,-1.0511403318937,0.3133338645072707,-0.42736618231999,0.633353017978154,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-13,-0.2734546534706098,-1.1213379400537293,-1.0604622620956217,-0.16977806801325784,-0.42736618231999,1.6845068007573658,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-14,-0.2734546534706098,-0.6313541520050766,-0.7448483395448511,-1.0561487210674503,-0.42736618231999,0.7310425633134854,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-15,-0.2734546534706098,-0.3298676660106855,-0.3519955667495874,-0.8072728770417236,-0.42736618231999,0.363353582260335,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-16,-0.2734546534706098,-0.2525001911346974,-0.27608842081965557,-0.8937805233608265,-0.42736618231999,0.05178233119888854,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-17,-0.2734546534706098,-0.4673420139074577,-0.45187339034160345,-0.40401415650805944,-0.42736618231999,-0.12105648606899426,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-18,3.2331505382371386,-1.5305518660270476,-1.5984708051779486,-0.4612422917653121,-0.42736618231999,-0.044827355509360116,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-19,-0.2734546534706098,-1.1025066136121744,-1.2682081351670154,-0.7859786871785598,-0.42736618231999,0.9462704269445436,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-20,-0.2734546534706098,-0.6490019159300403,-0.7315312963992487,-1.1093841957253598,-0.42736618231999,0.4917800551986567,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-21,-0.2734546534706098,-0.584119153174624,-0.5983608649432273,-0.764684497315396,-0.42736618231999,0.43820018801449,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-22,-0.2734546534706098,-0.49545495463335754,-0.48516599820560885,-0.7101181357910388,-0.42736618231999,0.013901890895959607,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-23,-0.2734546534706098,-0.8545848908863217,-0.6915801669624422,-0.05399091063230461,-0.42736618231999,-0.056809485458060145,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-24,-0.2734546534706098,-0.13086053495641398,-0.08565470383754442,-0.724757891321964,-0.42736618231999,-0.2483885508517959,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-25,-0.2734546534706098,0.12755756380265565,0.18734468064729923,-0.5490808249508627,-0.42736618231999,-0.30257435940181565,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-26,-0.2734546534706098,-0.9662887233322317,-0.5450926923608189,0.43710634308691015,-0.42736618231999,-0.3321920202067357,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-27,-0.2734546534706098,-1.4759558411474791,-1.7276461236902894,-0.6249413763383836,-0.42736618231999,-0.42840599321182044,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-28,-0.2734546534706098,-0.8521897507346272,-1.1110670260489102,-1.613790318109052,-0.42736618231999,-0.4074823683331247,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-29,-0.2734546534706098,-0.4999932005821088,-0.5291122405860962,-0.7966257821101417,-0.42736618231999,-0.45565834335684663,1.0,False,,1,observed
St.David,1.0754327901249365,2020-03-30,-0.2734546534706098,-0.39431290845097255,-0.4358929385668812,-1.0561487210674503,-0.42736618231999,-0.41903759677170327,1.0,True,,1,observed
St.David,1.0754327901249365,2020-03-31,-0.2734546534706098,-0.10541667658783022,-0.09098152109578564,-0.8272361800384397,-0.42736618231999,-0.47154972385411636,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-01,-0.2734546534706098,-0.1398915834383947,-0.04304016577161798,-0.12985146201982564,-0.42736618231999,-0.477059509352337,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-02,-0.2734546534706098,-0.2671830159263257,-0.14424969367819404,-0.042012928834274994,-0.42736618231999,-0.46108241712125275,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-03,-0.2734546534706098,-0.23740897232655686,-0.19352275331692212,-0.41599213830608905,-0.42736618231999,-0.4747212115158016,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-04,-0.2734546534706098,-0.22333860462660637,-0.20550809214796403,-0.5783603360127129,-0.42736618231999,-0.47885505051302046,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-05,-0.2734546534706098,-0.2969593607105798,-0.2614396733594928,-0.4093377039738503,-0.42736618231999,-0.48865462033466306,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-06,-0.2734546534706098,-0.37185961253840727,-0.297395689852619,-0.18574871041063057,-0.42736618231999,-0.48327262985129016,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-07,-0.2734546534706098,-0.10687031861985387,-0.06701084343370181,-0.37340375857976144,-0.42736618231999,-0.47365935011307597,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-08,-0.2734546534706098,-0.16456755305231596,-0.1429179893636341,-0.4905218028271623,-0.42736618231999,-0.4572680423829146,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-09,-0.2734546534706098,-0.3429796357988987,-0.3107127329982209,-0.3694110979804182,-0.42736618231999,-0.47214369013892316,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-10,-0.2734546534706098,-0.19608733104648038,-0.22548365686636707,-1.0002514726766454,-0.42736618231999,-0.471593790189445,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-11,-0.2734546534706098,-1.0029254145803774,-1.205618032382685,-0.8458685961687079,-0.42736618231999,-0.465674252322595,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-12,-0.2734546534706098,-0.6507801286544938,-0.7648239042632541,-0.9523395454845268,-0.42736618231999,-0.39955757753900684,1.0,True,,1,observed
St.David,1.0754327901249365,2020-04-13,-0.2734546534706098,-0.3352755624867752,-0.28407864670701666,-0.2775799041955245,-0.42736618231999,-0.39423197953301686,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-14,-0.2734546534706098,-0.5045539453532452,-0.5677316657083423,-0.7992875558430372,-0.42736618231999,-0.3832128552271053,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-15,-0.2734546534706098,-0.2415433680848972,-0.268098194932294,-0.7819860265792167,-0.42736618231999,-0.4100728248611175,1.0,True,,1,observed
St.David,1.0754327901249365,2020-04-16,-0.2734546534706098,0.004803175695928244,-0.031054826940576073,-0.7008019277259047,-0.42736618231999,-0.41176586501548446,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-17,-0.2734546534706098,-0.07538757783612307,-0.07100595637738213,-0.2975432071922404,-0.42736618231999,-0.3880963491455648,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-18,-0.2734546534706098,-0.15171930989989219,-0.15889844113835633,-0.38538174037779105,-0.42736618231999,-0.383318111873591,1.0,True,,1,observed
St.David,1.0754327901249365,2020-04-19,-0.2734546534706098,0.01978985728446371,-0.019069488109533687,-0.724757891321964,-0.42736618231999,-0.4104731866623571,1.0,False,,1,observed
St.David,1.0754327901249365,2020-04-20,-0.2734546534706098,0.14189672211656043,0.11543264766104773,-0.47987470789558034,-0.42736618231999,-0.42214114972437405,1.0,True,,1,observed
